樓層傳送點(up, down)
layer0  [0,5]
layer1  [0,0]   [10,5]
layer2  [10,0]  [0,0]
layer3  [10,10] [10,0]
layer4  [10,0]  [10,10]
layer5  [10,9]  [10,0]
layer6  [10,4]  [10,9]
layer7  [0,0]   [10,4]
layer8  [4,6]   [0,0]
layer9  [6,6]   [4,6]
layer10 [10,0]  [6,5]
layer11 [10,10] [10,0]
layer12 [10,0]  [10,10]
layer13 [10,5]  [10,0]
layer14 [0,4]   [10,4]
layer15 [0,6]   [0,4] 
layer16 [7,5]   [0,6]
layer17 [10,0]  [7,5]
layer18 [10,10] [10.0]
layer19 [3,5]   [10,10]
layer20 [7,5]   [3,5]
layer21 [1,5]   [7,5]
layer22 [5,0]/[10,5]/[5,10]  [0,5]

layer23_1   X   [5,10]
layer23_2 [6,5]   [0,5]
layer23_3   X   [5,0]
